date,latitude,longitude,altitude,distance
,48.277580,4.072578,134.399993,15174117.000
,48.277572,4.072525,134.399993,4.100
,48.277572,4.072488,134.399993,2.800
,48.277648,4.072493,117.199996,8.800
,48.277637,4.072453,117.900001,3.300
,48.277633,4.072417,118.300003,2.700
,48.277641,4.072373,121.599998,3.200
,48.277652,4.072345,122.599998,2.400
,48.277667,4.072307,125.800003,3.600
,48.277679,4.072277,127.699996,2.500
,48.277694,4.072257,127.099998,2.100
,48.277706,4.072227,127.699996,2.500
,48.277721,4.072195,127.900001,3.000
,48.277744,4.072148,129.100006,4.200
,48.277755,4.072122,131.000000,2.400
,48.277770,4.072102,130.800003,2.400
,48.277793,4.072083,129.899993,3.000
,48.277816,4.072067,127.400001,2.200
,48.277839,4.072038,126.300003,3.400
,48.277854,4.072013,126.000000,2.700
,48.277870,4.071990,125.800003,2.300
,48.277893,4.071965,125.800003,3.200
,48.277912,4.071935,126.300003,3.200
,48.277923,4.071915,125.300003,1.900
,48.277935,4.071888,125.000000,2.500
,48.277938,4.071850,125.099998,2.800
,48.277931,4.071815,125.099998,2.700
,48.277908,4.071778,124.800003,3.800
,48.277881,4.071765,124.699996,2.800
,48.277870,4.071758,125.099998,1.600
,48.277854,4.071747,125.400001,1.700
,48.277835,4.071723,125.800003,2.900
,48.277809,4.071703,126.000000,3.000
,48.277786,4.071682,126.099998,3.100
,48.277767,4.071662,126.000000,2.700
,48.277744,4.071643,126.099998,3.000
,48.277717,4.071620,126.800003,3.200
,48.277679,4.071590,127.000000,4.700
,48.277656,4.071567,127.199996,3.500
,48.277633,4.071547,127.500000,2.400
,48.277606,4.071528,127.500000,3.700
,48.277587,4.071508,127.500000,2.700
,48.277561,4.071488,127.599998,3.000
,48.277538,4.071468,127.500000,3.000
,48.277515,4.071448,127.500000,3.000
,48.277492,4.071427,127.400001,3.100
,48.277469,4.071407,127.400001,2.700
,48.277431,4.071375,127.599998,4.800
,48.277408,4.071357,127.500000,3.000
,48.277385,4.071335,127.500000,3.100
,48.277359,4.071313,127.500000,3.100
,48.277336,4.071292,127.599998,3.100
,48.277317,4.071273,127.699996,2.700
,48.277290,4.071252,127.800003,3.100
,48.277271,4.071232,127.699996,2.700
,48.277248,4.071212,127.800003,3.000
,48.277225,4.071190,127.900001,3.100
,48.277187,4.071160,128.000000,4.400
